Sample\Estimators,sobs,shannon,simpson,ace,chao,coverage
B1403,184,3.051236,0.094297,198.899253,197.636364,0.999107
B2404,25,0.727433,0.504624,67.232834,43.333333,0.999607
B0121,43,1.596412,0.288924,72.876214,58.6,0.999536
B1404,185,3.065177,0.092087,208.516851,204.84,0.998857
B1807,15,0.36779,0.813688,41.093616,43,0.999714
B4314,80,1.309622,0.377408,147.737057,115.428571,0.998857
B2401,199,3.248859,0.073568,233.429385,227.888889,0.998571
B2424,35,1.103695,0.374339,44.410599,40.142857,0.999679
B1925,38,0.466157,0.787277,73.081468,53,0.999464
B0610,184,3.201139,0.081955,194.167826,194.555556,0.999286
B3839,19,0.997254,0.487957,19.423163,19,0.999964
B0604,185,2.986736,0.148217,194.596493,195.058824,0.999321
B3707,61,0.883542,0.472046,129.135437,115.166667,0.999071
B1463,30,1.002429,0.511143,35.621421,35,0.999786
B2434,49,1.638412,0.274284,89.755753,62.333333,0.999428
B0821,28,0.943791,0.443013,46.818915,46,0.999679
B3842,88,1.05299,0.555354,128.700944,108,0.999107
B0826,31,0.750453,0.645613,56.845926,70,0.999536
A1314,36,1.039128,0.43066,252.834083,106,0.99925
B3628,197,3.068521,0.119181,217.013396,221.166667,0.998928
B0102,184,2.860142,0.162134,201.531579,207.625,0.999
B4421,75,1.137412,0.5128,101.537931,95,0.999107
B1607,35,0.401911,0.802238,108.054945,65.6,0.999357
B3001,199,3.125615,0.089536,221.76744,220.576923,0.998785
B4121,31,0.812926,0.524743,56.520262,47.5,0.999571
B4105,201,3.253689,0.074392,226.309622,228.75,0.998678
A6812,26,0.463656,0.782223,36.754649,48.5,0.999643
B3828,47,0.846156,0.637304,90.709313,69.666667,0.999393
B4002,203,3.181506,0.085709,222.030558,218.535714,0.998928
B4021,30,0.765498,0.685923,34.86724,35,0.999786
