"","Time","Treat"
"OTU317",1.10027842568228e-13,0.792819798069411
"OTU57",4.08322282511244e-14,0.801714100225265
"OTU30",2.17834739245588e-16,0.890698749498065
"OTU738",0.0627053514678658,0.508666181833995
"OTU736",9.61609312273188e-08,0.00550579327704051
"OTU128",1.79923999216671e-16,0.570015947428224
"OTU322",8.52828717738033e-15,0.493868501662578
"OTU25",0.85303215507943,0.809399218587029
"OTU861",0.382176737680133,0.897658786274428
"OTU1243",0.000394001112508639,0.980226903853317
"OTU1026",4.74560205179907e-15,0.58319807305562
"OTU1111",7.90520179019326e-08,0.901449311374561
"OTU46",1.41362841097698e-15,0.909009416955548
"OTU729",2.01112974159847e-16,0.69435015878675
"OTU384",1.85302997796699e-10,0.163984853229367
"OTU1028",2.83903734301521e-14,0.305878451867381
"OTU234",4.71096246978222e-11,0.236764109938826
"OTU730",1.80062803548226e-08,0.0115915751758264
"OTU85",4.16774137414543e-16,0.450454509281818
"OTU48",0.85312758642517,0.881906327666197
"OTU19",0.384175642614506,0.273920074708948
"OTU1041",4.79039264069244e-15,0.310893461597388
"OTU525",8.12182505854985e-12,0.29755592902237
"OTU718",0.000458948628691654,0.199703799444182
"OTU1069",3.87679541065659e-15,0.489266719027411
"OTU870",7.54606565517421e-16,0.920967039346383
"OTU288",3.169306076923e-13,0.568992988830926
"OTU444",0.262289798937439,0.662882551123342
"OTU84",4.26108872567673e-13,0.305006415285268
"OTU714",0.275397186220127,0.812968454567283
"OTU325",7.42945403859773e-17,0.416237887676572
"OTU51",1.77166582673967e-05,0.59570703373405
"OTU1105",0.700383669959612,0.622928199389688
"OTU734",4.90101027944528e-09,0.00335082986272307
"OTU728",1.03220713937528e-07,0.00430052450439129
"OTU731",4.7158040416685e-06,0.00815234669649916
"OTU78",1.17405099034982e-10,0.340112004489691
"OTU228",2.10462167119506e-11,0.176497998942867
"OTU401",1.98460447402024e-07,0.00442861880787562
"OTU724",0.434325501508187,0.911120260341503
"OTU1184",0.0789007935654878,0.588091767590213
"OTU1113",4.10656724413853e-15,0.85636313569694
"OTU125",3.80861516793054e-15,0.571822543667373
"OTU1021",8.28410357388016e-12,0.260799053576831
"OTU274",3.6954155789165e-13,0.586433976276858
"OTU802",2.48745387913862e-13,0.548423759603333
"OTU752",8.77888590150151e-10,0.00628484322161883
"OTU862",3.13689650407655e-08,0.102679860002226
"OTU533",1.12633531704698e-13,0.31018503263038
"OTU789",0.00240192495106288,0.768328456855264
"OTU743",1.26659229107412e-09,0.00800091410189191
"OTU86",8.97015454886712e-14,0.379102349891643
"OTU692",0.865386147307515,0.762618294348818
"OTU885",6.16767638355844e-18,0.696099513933601
"OTU122",6.32338538380233e-12,0.168811793836959
"OTU698",0.123211556718276,0.537080272205019
"OTU34",3.30087542933427e-13,0.346670337968902
"OTU769",0.0779824721934604,0.710713564998684
"OTU89",3.04482348726411e-07,0.00403762919208683
"OTU889",4.13150657056769e-16,0.951630845847456
"OTU261",1.4540363550408e-14,0.624215332143657
"OTU29",9.73895831825072e-09,0.444119873147752
"OTU82",1.70918352931726e-15,0.48115766675855
"OTU774",4.10716694041276e-06,0.0150751764752556
"OTU37",1.72863563406431e-11,0.264169967543342
"OTU999",2.48595471374667e-17,0.554471900011473
"OTU810",1.03891074683047e-16,0.709033979218753
"OTU707",0.0572772133306915,0.555827914472125
"OTU1001",5.30072009287231e-15,0.531094331658688
"OTU795",1.92070903874503e-13,0.444717453767051
"OTU427",9.66028100280435e-15,0.522781149896737
"OTU869",0.083235520702012,0.487910283126586
