"","Time","Treat"
"OTU317",2.51485967967406e-13,0.585565475220992
"OTU57",8.76753882241078e-15,0.74640091604557
"OTU30",7.62977871612249e-17,0.786591896194553
"OTU738",0.0544181184651489,0.413567230531866
"OTU736",1.03950998023109e-07,0.0509490716265614
"OTU128",8.02176646024801e-17,0.801114149752741
"OTU322",2.16850629657028e-15,0.733510871919846
"OTU25",0.260386159676858,0.257312546289882
"OTU861",0.686413060255519,0.522927268182493
"OTU1243",0.000193340854706691,0.211082103751722
"OTU1026",2.9575014707071e-15,0.652943781058741
"OTU46",1.14613835559269e-15,0.985010724061563
"OTU729",9.73300692815699e-17,0.991765004327485
"OTU384",2.4823375941664e-11,0.29638916693285
"OTU1028",9.54374678951473e-15,0.424490936806709
"OTU234",2.9076486378955e-11,0.576498160817841
"OTU730",1.90502078653409e-08,0.0803675619901176
"OTU85",1.37038698784972e-16,0.563430451099571
"OTU48",0.511311748924844,0.996254364028146
"OTU19",0.207003911122938,0.179212405633582
"OTU1041",4.54623759307809e-15,0.404257324675058
"OTU525",5.79451794126145e-12,0.56803745693354
"OTU718",0.00140748822630716,0.472130084590787
"OTU1069",2.09150398246643e-15,0.550288838939005
"OTU870",9.71285708367311e-16,0.888257171844711
"OTU288",4.42788837828033e-14,0.622626690131607
"OTU444",0.390266881171174,0.270843818520387
"OTU84",6.67772111871548e-14,0.581316205958403
"OTU714",0.445668747438016,0.426464101941591
"OTU108",1.58056482747353e-09,0.0632205481014956
"OTU325",1.99671931837201e-17,0.700296425746956
"OTU51",3.10297160718754e-06,0.230666091615514
"OTU1105",0.762006379418529,0.547646858878958
"OTU734",2.93115619640501e-09,0.0575243969871449
"OTU728",7.33156864501944e-08,0.0531488298071351
"OTU731",1.01204784748398e-05,0.044078755909044
"OTU78",2.79273398261512e-10,0.603101808731555
"OTU228",2.86215261254536e-11,0.376788839352073
"OTU401",1.61455853414451e-07,0.0487435129564725
"OTU724",0.914461078746847,0.255802998855016
"OTU1184",0.0707700239007313,0.536907149357807
"OTU1113",2.27138399355242e-15,0.767839012356138
"OTU125",1.7640665914271e-15,0.554724007232396
"OTU1021",6.33838139232974e-12,0.455425299724977
"OTU274",1.42102697184194e-13,0.850310015031569
"OTU802",4.42125738453887e-13,0.591604151960893
"OTU752",6.1633763082752e-10,0.0651786108775673
"OTU862",2.00808597953227e-06,0.511654579757222
"OTU533",5.35205527458443e-14,0.593523544326649
"OTU789",0.00420550593852599,0.702404411387043
"OTU743",1.06505207797289e-09,0.0735220951566477
"OTU86",3.34363680065013e-14,0.516165238741246
"OTU692",0.320569549013122,0.268195972735014
"OTU885",3.77992866666685e-18,0.78404024848206
"OTU122",2.9241949094721e-12,0.537605414252182
"OTU698",0.122764255077707,0.460191856770659
"OTU34",1.37019711310258e-13,0.505549679362823
"OTU89",2.90226438325866e-07,0.0456349112385268
"OTU889",3.1838918441195e-16,0.893628184764399
"OTU261",1.84820003818827e-14,0.691907251154288
"OTU29",6.62967383702318e-07,0.743563428842534
"OTU82",6.07968810714154e-16,0.628664342484455
"OTU774",4.0992879291365e-06,0.117149898189038
"OTU37",1.1062792690968e-11,0.325740342515179
"OTU999",8.3053163858304e-18,0.790729084399618
"OTU810",8.31374982976005e-17,0.879436355817268
"OTU707",0.066768075284916,0.438548487407295
"OTU1001",2.92344587869939e-15,0.690421038445582
"OTU795",2.04568838492083e-13,0.584558948127017
"OTU427",6.85634444627265e-15,0.502842779443897
"OTU869",0.120328255948939,0.599395192838133
