"","Time","Treat"
"OTU317",7.39663885696018e-12,0.687018340154048
"OTU57",3.33066907387547e-16,0.966299173427523
"OTU30",1.81521464526213e-13,0.823242681845172
"OTU738",0.151372203500091,0.292481220876248
"OTU736",1.79328215721419e-07,0.0333104570675514
"OTU128",3.77475828372553e-15,0.640089195336307
"OTU322",4.21884749357559e-15,0.974537873587157
"OTU25",0.324286539402208,0.814366846038499
"OTU861",0.00272913254462626,0.647500275925775
"OTU1243",0.0706039147517481,0.33928222533687
"OTU1026",1.59872115546023e-14,0.616014930033461
"OTU46",4.88498130835069e-15,0.958884832293017
"OTU729",2.33146835171283e-15,0.963783297283962
"OTU384",5.66102720256367e-13,0.767540969266379
"OTU1028",1.56985535681997e-13,0.896813572369125
"OTU234",5.66076008290395e-09,0.608609413094461
"OTU730",1.91765375068265e-06,0.143713447366338
"OTU85",2.33146835171283e-15,0.578001814471609
"OTU48",0.0326733083336364,0.887449004320159
"OTU19",0.0597751183424143,0.322455378144462
"OTU1041",4.66293670342566e-15,0.847507398822898
"OTU525",1.50879309046559e-13,0.940565534005894
"OTU718",8.22548014839386e-05,0.691666600647156
"OTU1069",1.54798396323486e-12,0.923278023511219
"OTU870",4.44089209850063e-16,0.925978009601816
"OTU288",3.5527136788005e-14,0.910438997243206
"OTU444",0.0215937605148223,0.910132514829732
"OTU84",1.19126930542279e-13,0.175110232097939
"OTU714",0.00165847622507476,0.871218096548584
"OTU108",5.58887935930841e-10,0.106774326428793
"OTU325",3.0409008644483e-13,0.170242643657206
"OTU51",0.00734611035912736,0.0669634851882593
"OTU1105",5.98222186232178e-08,0.797912524816367
"OTU734",5.25267052076117e-10,0.0328383490715101
"OTU728",9.26876859153047e-07,0.0865336695442676
"OTU731",6.89662479091968e-06,0.0273170102045986
"OTU78",2.4535928844216e-14,0.657262622300386
"OTU228",2.64110955328078e-12,0.541672427958653
"OTU401",1.179143126806e-06,0.0603268908860405
"OTU724",0.322857379227658,0.495508182998635
"OTU1184",3.1704154076051e-05,0.855839614888693
"OTU1113",6.55031584528842e-15,0.655831610023649
"OTU125",2.12052597703405e-14,0.955740729028695
"OTU1021",1.0680345496894e-13,0.851304403003248
"OTU274",1.54321000422897e-14,0.98803098359604
"OTU802",2.87547763377916e-13,0.727113829228518
"OTU752",5.54299507404821e-07,0.140801791980167
"OTU862",0.000390484767304966,0.512961579976547
"OTU533",4.29323243622548e-13,0.280414836614835
"OTU789",0.0931927801730712,0.175466783686984
"OTU743",2.39298852622305e-07,0.120913214164785
"OTU86",2.43394193688573e-12,0.707837167942706
"OTU692",0.005386010331771,0.145137130779579
"OTU885",0,0.928216305614948
"OTU122",1.37283640011532e-09,0.512217780073338
"OTU698",4.92322940204293e-06,0.237081939570349
"OTU34",2.64677169070637e-13,0.56756815016117
"OTU89",0.000324913696622575,0.0871243862139313
"OTU889",1.33226762955019e-15,0.839462943150183
"OTU261",9.71445146547012e-14,0.501237674118884
"OTU29",0.000936966038378007,0.905920574081707
"OTU82",2.22044604925031e-15,0.851438097095542
"OTU774",5.9229300508612e-07,0.304407269896103
"OTU37",2.05563344124471e-11,0.723599905162514
"OTU999",2.99760216648792e-15,0.995775167090214
"OTU810",2.88657986402541e-15,0.965927998501027
"OTU707",0.0413853463126731,0.8001971283867
"OTU1001",2.73114864057789e-14,0.429555756883034
"OTU795",9.01501095995627e-14,0.530234368658594
"OTU427",1.50468526527447e-12,0.795961762231808
"OTU869",0.478449728743385,0.688167154675246
